"State","Year","Period","NDG_Consumption"
"AL",2012,"M01",37526.4166666667
"AL",2012,"M02",37581.6333333333
"AL",2012,"M03",37636.85
"AL",2012,"M04",37692.0666666667
"AL",2012,"M05",37747.2833333333
"AL",2012,"M06",37802.5
"AL",2012,"M07",37857.7166666667
"AL",2012,"M08",37912.9333333333
"AL",2012,"M09",37968.15
"AL",2012,"M10",38023.3666666667
"AL",2012,"M11",38078.5833333333
"AL",2012,"M12",38133.8
"AL",2013,"M01",38199.1583333333
"AL",2013,"M02",38264.5166666667
"AL",2013,"M03",38329.875
"AL",2013,"M04",38395.2333333333
"AL",2013,"M05",38460.5916666667
"AL",2013,"M06",38525.95
"AL",2013,"M07",38591.3083333333
"AL",2013,"M08",38656.6666666667
"AL",2013,"M09",38722.025
"AL",2013,"M10",38787.3833333333
"AL",2013,"M11",38852.7416666667
"AL",2013,"M12",38918.1
"AL",2014,"M01",38986.4416666667
"AL",2014,"M02",39054.7833333333
"AL",2014,"M03",39123.125
"AL",2014,"M04",39191.4666666667
"AL",2014,"M05",39259.8083333333
"AL",2014,"M06",39328.15
"AL",2014,"M07",39396.4916666667
"AL",2014,"M08",39464.8333333333
"AL",2014,"M09",39533.175
"AL",2014,"M10",39601.5166666667
"AL",2014,"M11",39669.8583333333
"AL",2014,"M12",39738.2
"AL",2015,"M01",39706.075
"AL",2015,"M02",39673.95
"AL",2015,"M03",39641.825
"AL",2015,"M04",39609.7
"AL",2015,"M05",39577.575
"AL",2015,"M06",39545.45
"AL",2015,"M07",39513.325
"AL",2015,"M08",39481.2
"AL",2015,"M09",39449.075
"AL",2015,"M10",39416.95
"AL",2015,"M11",39384.825
"AL",2015,"M12",39352.7
"AL",2016,"M01",39348.5166666667
"AL",2016,"M02",39344.3333333333
"AL",2016,"M03",39340.15
"AL",2016,"M04",39335.9666666667
"AL",2016,"M05",39331.7833333333
"AL",2016,"M06",39327.6
"AL",2016,"M07",39323.4166666667
"AL",2016,"M08",39319.2333333333
"AL",2016,"M09",39315.05
"AL",2016,"M10",39310.8666666667
"AL",2016,"M11",39306.6833333333
"AL",2016,"M12",39302.5
"AL",2017,"M01",39398.85
"AL",2017,"M02",39495.2
"AL",2017,"M03",39591.55
"AL",2017,"M04",39687.9
"AL",2017,"M05",39784.25
"AL",2017,"M06",39880.6
"AL",2017,"M07",39976.95
"AL",2017,"M08",40073.3
"AL",2017,"M09",40169.65
"AL",2017,"M10",40266
"AL",2017,"M11",40362.35
"AL",2017,"M12",40458.7
"AL",2018,"M01",40591.7666666667
"AL",2018,"M02",40724.8333333333
"AL",2018,"M03",40857.9
"AL",2018,"M04",40990.9666666667
"AL",2018,"M05",41124.0333333333
"AL",2018,"M06",41257.1
"AL",2018,"M07",41390.1666666667
"AL",2018,"M08",41523.2333333333
"AL",2018,"M09",41656.3
"AL",2018,"M10",41789.3666666667
"AL",2018,"M11",41922.4333333333
"AL",2018,"M12",42055.5
"AL",2019,"M01",42149.6166666667
"AL",2019,"M02",42243.7333333333
"AL",2019,"M03",42337.85
"AL",2019,"M04",42431.9666666667
"AL",2019,"M05",42526.0833333333
"AL",2019,"M06",42620.2
"AL",2019,"M07",42714.3166666667
"AL",2019,"M08",42808.4333333333
"AL",2019,"M09",42902.55
"AL",2019,"M10",42996.6666666667
"AL",2019,"M11",43090.7833333333
"AL",2019,"M12",43184.9
"AL",2020,"M01",43310.75
"AL",2020,"M02",43436.6
"AL",2020,"M03",43562.45
"AL",2020,"M04",43688.3
"AL",2020,"M05",43814.15
"AL",2020,"M06",43940
"AL",2020,"M07",44065.85
"AL",2020,"M08",44191.7
"AL",2020,"M09",44317.55
"AL",2020,"M10",44443.4
"AL",2020,"M11",44569.25
"AL",2020,"M12",44695.1
"AL",2021,"M01",45215.95
"AL",2021,"M02",45736.8
"AL",2021,"M03",46257.65
"AL",2021,"M04",46778.5
"AL",2021,"M05",47299.35
"AL",2021,"M06",47820.2
"AL",2021,"M07",48341.05
"AL",2021,"M08",48861.9
"AL",2021,"M09",49382.75
"AL",2021,"M10",49903.6
"AL",2021,"M11",50424.45
"AL",2021,"M12",50945.3
"AL",2022,"M01",51337.6416666667
"AL",2022,"M02",51729.9833333333
"AL",2022,"M03",52122.325
"AL",2022,"M04",52514.6666666667
"AL",2022,"M05",52907.0083333333
"AL",2022,"M06",53299.35
"AL",2022,"M07",53691.6916666667
"AL",2022,"M08",54084.0333333333
"AL",2022,"M09",54476.375
"AL",2022,"M10",54868.7166666667
"AL",2022,"M11",55261.0583333333
"AL",2022,"M12",55653.4
"AK",2012,"M01",6234.60833333333
"AK",2012,"M02",6242.61666666667
"AK",2012,"M03",6250.625
"AK",2012,"M04",6258.63333333333
"AK",2012,"M05",6266.64166666667
"AK",2012,"M06",6274.65
"AK",2012,"M07",6282.65833333333
"AK",2012,"M08",6290.66666666667
"AK",2012,"M09",6298.675
"AK",2012,"M10",6306.68333333333
"AK",2012,"M11",6314.69166666667
"AK",2012,"M12",6322.7
"AK",2013,"M01",6321.50833333333
"AK",2013,"M02",6320.31666666667
"AK",2013,"M03",6319.125
"AK",2013,"M04",6317.93333333333
"AK",2013,"M05",6316.74166666667
"AK",2013,"M06",6315.55
"AK",2013,"M07",6314.35833333333
"AK",2013,"M08",6313.16666666667
"AK",2013,"M09",6311.975
"AK",2013,"M10",6310.78333333333
"AK",2013,"M11",6309.59166666667
"AK",2013,"M12",6308.4
"AK",2014,"M01",6318.075
"AK",2014,"M02",6327.75
"AK",2014,"M03",6337.425
"AK",2014,"M04",6347.1
"AK",2014,"M05",6356.775
"AK",2014,"M06",6366.45
"AK",2014,"M07",6376.125
"AK",2014,"M08",6385.8
"AK",2014,"M09",6395.475
"AK",2014,"M10",6405.15
"AK",2014,"M11",6414.825
"AK",2014,"M12",6424.5
"AK",2015,"M01",6409.00833333333
"AK",2015,"M02",6393.51666666667
"AK",2015,"M03",6378.025
"AK",2015,"M04",6362.53333333333
"AK",2015,"M05",6347.04166666667
"AK",2015,"M06",6331.55
"AK",2015,"M07",6316.05833333333
"AK",2015,"M08",6300.56666666667
"AK",2015,"M09",6285.075
"AK",2015,"M10",6269.58333333333
"AK",2015,"M11",6254.09166666667
"AK",2015,"M12",6238.6
"AK",2016,"M01",6230.64166666667
"AK",2016,"M02",6222.68333333333
"AK",2016,"M03",6214.725
"AK",2016,"M04",6206.76666666667
"AK",2016,"M05",6198.80833333333
"AK",2016,"M06",6190.85
"AK",2016,"M07",6182.89166666667
"AK",2016,"M08",6174.93333333333
"AK",2016,"M09",6166.975
"AK",2016,"M10",6159.01666666667
"AK",2016,"M11",6151.05833333333
"AK",2016,"M12",6143.1
"AK",2017,"M01",6146.75
"AK",2017,"M02",6150.4
"AK",2017,"M03",6154.05
"AK",2017,"M04",6157.7
"AK",2017,"M05",6161.35
"AK",2017,"M06",6165
"AK",2017,"M07",6168.65
"AK",2017,"M08",6172.3
"AK",2017,"M09",6175.95
"AK",2017,"M10",6179.6
"AK",2017,"M11",6183.25
"AK",2017,"M12",6186.9
"AK",2018,"M01",6198.725
"AK",2018,"M02",6210.55
"AK",2018,"M03",6222.375
"AK",2018,"M04",6234.2
"AK",2018,"M05",6246.025
"AK",2018,"M06",6257.85
"AK",2018,"M07",6269.675
"AK",2018,"M08",6281.5
"AK",2018,"M09",6293.325
"AK",2018,"M10",6305.15
"AK",2018,"M11",6316.975
"AK",2018,"M12",6328.8
"AK",2019,"M01",6334.09166666667
"AK",2019,"M02",6339.38333333333
"AK",2019,"M03",6344.675
"AK",2019,"M04",6349.96666666667
"AK",2019,"M05",6355.25833333333
"AK",2019,"M06",6360.55
"AK",2019,"M07",6365.84166666667
"AK",2019,"M08",6371.13333333333
"AK",2019,"M09",6376.425
"AK",2019,"M10",6381.71666666667
"AK",2019,"M11",6387.00833333333
