"State","Year","Period","S_Consumption"
"AL",2012,"M01",85014.5083333333
"AL",2012,"M02",85171.8166666667
"AL",2012,"M03",85329.125
"AL",2012,"M04",85486.4333333333
"AL",2012,"M05",85643.7416666667
"AL",2012,"M06",85801.05
"AL",2012,"M07",85958.3583333333
"AL",2012,"M08",86115.6666666667
"AL",2012,"M09",86272.975
"AL",2012,"M10",86430.2833333333
"AL",2012,"M11",86587.5916666667
"AL",2012,"M12",86744.9
"AL",2013,"M01",86972.4416666667
"AL",2013,"M02",87199.9833333333
"AL",2013,"M03",87427.525
"AL",2013,"M04",87655.0666666667
"AL",2013,"M05",87882.6083333333
"AL",2013,"M06",88110.15
"AL",2013,"M07",88337.6916666667
"AL",2013,"M08",88565.2333333333
"AL",2013,"M09",88792.775
"AL",2013,"M10",89020.3166666667
"AL",2013,"M11",89247.8583333333
"AL",2013,"M12",89475.4
"AL",2014,"M01",89730.475
"AL",2014,"M02",89985.55
"AL",2014,"M03",90240.625
"AL",2014,"M04",90495.7
"AL",2014,"M05",90750.775
"AL",2014,"M06",91005.85
"AL",2014,"M07",91260.925
"AL",2014,"M08",91516
"AL",2014,"M09",91771.075
"AL",2014,"M10",92026.15
"AL",2014,"M11",92281.225
"AL",2014,"M12",92536.3
"AL",2015,"M01",92869.7666666667
"AL",2015,"M02",93203.2333333333
"AL",2015,"M03",93536.7
"AL",2015,"M04",93870.1666666667
"AL",2015,"M05",94203.6333333333
"AL",2015,"M06",94537.1
"AL",2015,"M07",94870.5666666667
"AL",2015,"M08",95204.0333333333
"AL",2015,"M09",95537.5
"AL",2015,"M10",95870.9666666667
"AL",2015,"M11",96204.4333333333
"AL",2015,"M12",96537.9
"AL",2016,"M01",96909.45
"AL",2016,"M02",97281
"AL",2016,"M03",97652.55
"AL",2016,"M04",98024.1
"AL",2016,"M05",98395.65
"AL",2016,"M06",98767.2
"AL",2016,"M07",99138.75
"AL",2016,"M08",99510.3
"AL",2016,"M09",99881.85
"AL",2016,"M10",100253.4
"AL",2016,"M11",100624.95
"AL",2016,"M12",100996.5
"AL",2017,"M01",101320.766666667
"AL",2017,"M02",101645.033333333
"AL",2017,"M03",101969.3
"AL",2017,"M04",102293.566666667
"AL",2017,"M05",102617.833333333
"AL",2017,"M06",102942.1
"AL",2017,"M07",103266.366666667
"AL",2017,"M08",103590.633333333
"AL",2017,"M09",103914.9
"AL",2017,"M10",104239.166666667
"AL",2017,"M11",104563.433333333
"AL",2017,"M12",104887.7
"AL",2018,"M01",105183.325
"AL",2018,"M02",105478.95
"AL",2018,"M03",105774.575
"AL",2018,"M04",106070.2
