State,Year,Period,Demand_6
AK,2012,M01,141584
AK,2012,M02,141858
AK,2012,M03,142036
AK,2012,M04,141899
AK,2012,M05,142206
AK,2012,M06,142391
AK,2012,M07,142292
AK,2012,M08,142291
AK,2012,M09,143044
AK,2012,M10,143431
AK,2012,M11,143333
AK,2012,M12,143330
AK,2013,M01,143292
AK,2013,M02,143362
AK,2013,M03,143316
AK,2013,M04,143635
AK,2013,M05,143882
AK,2013,M06,143999
AK,2013,M07,144264
AK,2013,M08,144326
AK,2013,M09,144418
AK,2013,M10,143537
AK,2013,M11,144479
AK,2013,M12,144778
AK,2014,M01,145150
AK,2014,M02,145134
AK,2014,M03,145648
AK,2014,M04,145667
AK,2014,M05,145825
AK,2014,M06,146247
AK,2014,M07,146399
AK,2014,M08,146530
AK,2014,M09,146778
AK,2014,M10,147427
AK,2014,M11,147404
AK,2014,M12,147615
AK,2015,M01,148145
AK,2015,M02,148045
AK,2015,M03,148128
AK,2015,M04,148511
AK,2015,M05,148817
AK,2015,M06,148816
AK,2015,M07,148830
AK,2015,M08,149181
AK,2015,M09,148826
AK,2015,M10,149246
AK,2015,M11,149463
AK,2015,M12,150128
AK,2016,M01,150653
AK,2016,M02,150939
AK,2016,M03,151218
AK,2016,M04,151074
AK,2016,M05,151132
AK,2016,M06,151223
AK,2016,M07,151554
AK,2016,M08,151779
AK,2016,M09,151761
AK,2016,M10,151793
AK,2016,M11,151954
AK,2016,M12,152157
AK,2017,M01,152152
AK,2017,M02,152480
AK,2017,M03,153065
AK,2017,M04,153255
AK,2017,M05,153069
AK,2017,M06,153318
AK,2017,M07,153569
AK,2017,M08,153503
AK,2017,M09,154286
AK,2017,M10,153609
AK,2017,M11,153805
AK,2017,M12,153904
AK,2018,M01,154425
AK,2018,M02,155197
AK,2018,M03,155214
AK,2018,M04,155312
AK,2018,M05,155652
AK,2018,M06,155762
AK,2018,M07,156146
AK,2018,M08,155504
AK,2018,M09,156015
AK,2018,M10,156391
AK,2018,M11,156721
AK,2018,M12,156817
AK,2019,M01,156529
AK,2019,M02,156908
AK,2019,M03,156755
AK,2019,M04,156683
AK,2019,M05,156814
AK,2019,M06,157164
AK,2019,M07,157525
AK,2019,M08,157782
AK,2019,M09,158302
AK,2019,M10,158474
AK,2019,M11,158642
AK,2019,M12,158834
AK,2020,M01,158543
AK,2020,M02,158749
AK,2020,M03,155451
AK,2020,M04,133258
AK,2020,M05,137128
AK,2020,M06,142276
AK,2020,M07,143779
AK,2020,M08,147201
AK,2020,M09,147625
