"state","month","confirmed_cases","confirmed_and_probable_cases","hospitalizations","deaths"
"AK","2020-03",238,238,28,0
"AK","2020-04",136,136,13,0
"AK","2020-05",145,145,14,0
"AK","2020-06",613,614,29,0
"AK","2020-07",2270,2288,84,0
"AK","2020-08",2086,2105,94,0
"AK","2020-09",3001,3050,72,0
"AK","2020-10",8918,9228,195,0
"AK","2020-11",17057,18089,346,0
"AK","2020-12",9832,11203,256,0
"AK","2021-01",5539,6200,100,0
"AK","2021-02",3144,3415,70,0
"AK","2021-03",4100,4533,103,0
"AK","2021-04",4386,4649,133,0
"AK","2021-05",1688,1788,59,0
"AK","2021-06",843,918,44,0
"AK","2021-07",4608,4897,181,0
"AK","2021-08",14740,15450,368,14
"AK","2021-09",22881,24356,459,39
"AK","2021-10",20793,22411,381,29
"AK","2021-11",10183,11225,205,0
"AK","2021-12",7678,8236,122,0
"AK","2022-01",55755,59542,216,0
"AK","2022-02",16662,18952,113,0
"AK","2022-03",6070,6753,41,0
"AK","2022-04",5293,5799,15,0
"AK","2022-05",6977,7480,28,0
"AK","2022-06",8941,9899,47,0
"AK","2022-07",8827,10047,34,0
"AK","2022-08",4509,5322,18,0
"AL","2020-01",89,103,5,0
"AL","2020-02",49,59,12,0
"AL","2020-03",2582,2678,487,22
"AL","2020-04",6078,6208,896,214
"AL","2020-05",11267,11429,975,161
"AL","2020-06",21596,21949,1162,93
"AL","2020-07",46336,49693,1574,391
"AL","2020-08",30996,37542,1283,194
"AL","2020-09",21137,27987,867,0
"AL","2020-10",27036,37937,1012,41
"AL","2020-11",46261,59131,1018,259
"AL","2020-12",78553,104928,1829,954
"AL","2021-01",70567,97297,1776,819
"AL","2021-02",22782,32767,909,24
"AL","2021-03",11416,16679,596,0
"AL","2021-04",7364,13022,562,0
"AL","2021-05",9043,15514,477,23
"AL","2021-06",3681,5683,325,0
"AL","2021-07",26392,37930,1297,133
"AL","2021-08",87924,121066,3032,696
"AL","2021-09",58732,89528,2084,273
"AL","2021-10",16501,31396,769,0
"AL","2021-11",8493,15274,450,0
"AL","2021-12",43899,63134,893,12
"AL","2022-01",225377,319859,2069,745
"AL","2022-02",33997,53400,526,84
"AL","2022-03",5967,13519,97,0
"AL","2022-04",3612,5979,38,0
"AL","2022-05",9472,14087,69,0
"AL","2022-06",26912,41638,188,0
"AL","2022-07",10947,16266,45,0
"AL","2022-08",84,166,4,0
"AR","2020-01",13,17,4,0
"AR","2020-02",9,18,0,0
"AR","2020-03",1147,1156,250,0
"AR","2020-04",2694,2742,312,14
"AR","2020-05",5341,5354,466,13
"AR","2020-06",16435,16461,1055,0
"AR","2020-07",21005,21308,1609,119
"AR","2020-08",17733,18629,1306,74
"AR","2020-09",19196,21805,1421,218
"AR","2020-10",23271,28966,1956,380
"AR","2020-11",39875,53012,2609,622
"AR","2020-12",52610,72737,3016,630
"AR","2021-01",44575,64900,2223,374
"AR","2021-02",12767,19110,984,18
"AR","2021-03",4463,6563,477,0
"AR","2021-04",3677,5476,460,0
"AR","2021-05",3697,5682,537,0
"AR","2021-06",6245,9743,874,13
"AR","2021-07",27683,41640,2539,234
"AR","2021-08",44055,68420,3191,296
"AR","2021-09",23181,37398,1765,99
"AR","2021-10",9876,15699,840,30
"AR","2021-11",10662,17477,859,15
"AR","2021-12",31419,46410,1371,81
"AR","2022-01",142018,218758,4360,685
"AR","2022-02",17197,25491,1562,185
"AR","2022-03",3221,4110,333,12
"AR","2022-04",1919,2849,95,0
"AR","2022-05",5126,8043,214,0
"AR","2022-06",13633,23031,663,12
"AR","2022-07",21356,37039,1169,0
"AR","2022-08",6410,10101,167,0
"AZ","2020-01",54,64,8,0
"AZ","2020-02",49,57,13,0
"AZ","2020-03",2630,2693,776,79
"AZ","2020-04",7088,7398,1527,482
"AZ","2020-05",15793,16191,2068,428
"AZ","2020-06",71157,71673,6195,1293
"AZ","2020-07",85630,86724,9685,1565
"AZ","2020-08",21838,22767,2039,223
"AZ","2020-09",14694,16781,1065,91
"AZ","2020-10",31742,33364,2525,325
"AZ","2020-11",98878,104535,10718,1392
"AZ","2020-12",197599,216487,17443,3622
"AZ","2021-01",178888,198305,13000,2929
"AZ","2021-02",39912,44816,3379,467
"AZ","2021-03",19061,22930,1414,86
"AZ","2021-04",18579,21924,1509,54
"AZ","2021-05",14706,17396,1483,62
"AZ","2021-06",11735,14000,1418,71
"AZ","2021-07",34353,39132,3111,299
"AZ","2021-08",81505,91167,6275,838
"AZ","2021-09",66489,76711,4326,800
"AZ","2021-10",62998,74651,4297,780
"AZ","2021-11",90710,108532,6660,1478
"AZ","2021-12",109016,128843,6124,1499
"AZ","2022-01",421749,494489,11494,1970
"AZ","2022-02",63459,74431,3543,556
"AZ","2022-03",13261,17215,1009,62
"AZ","2022-04",10607,13939,575,33
"AZ","2022-05",35634,43827,1521,84
"AZ","2022-06",59848,73491,2092,166
"AZ","2022-07",65256,79497,2674,102
"AZ","2022-08",29491,37053,1464,28
"CA","2020-01",345,389,23,0
"CA","2020-02",473,488,150,0
"CA","2020-03",19324,19372,4832,471
"CA","2020-04",46513,46561,8744,2379
"CA","2020-05",71112,71261,7957,1864
"CA","2020-06",173978,174309,12611,2120
"CA","2020-07",280886,282776,17302,3131
"CA","2020-08",149263,151905,9761,1563
"CA","2020-09",98832,101312,6114,610
"CA","2020-10",120653,124840,7062,769
"CA","2020-11",400168,417480,19458,4346
"CA","2020-12",1164653,1222821,48054,18365
"CA","2021-01",834803,878356,37534,12191
"CA","2021-02",170711,182515,9956,1413
