Time,Factor_Pandemic,Factor_Consumption,Factor_GDP,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Cons2,Factor_Cases5,Factor_Cases2,Factor_Deaths5,Factor_Deaths2,Factor_Cases3,Factor_Deaths3,Factor_Cases4,Factor_Cases1,Factor_Hosp2,Factor_Hosp1,Factor_Deaths4,Factor_Deaths1,State
2/1/2012,0.967102109642368,1.0763074158042232,238702.9317,15278.43354,31023.35627,105961.8096,46301.78981,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
3/1/2012,0.8442879814882474,0.8623114592710743,239406.8281,15276.55788,31005.86554,106022.3342,46282.42342,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
4/1/2012,0.8503308650084933,0.4448440043372134,239745.559,15283.71351,31006.74904,106145.3014,46290.46255,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
5/1/2012,0.8500337040643485,-1.3542756578142314,240668.2439,15328.09879,31083.16458,106526.8143,46411.26337,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
6/1/2012,0.8500483204892706,-0.8649529353827752,241442.7706,15363.02455,31140.37551,106842.7044,46503.40006,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
7/1/2012,0.8500476015606144,-0.19654302535663026,241584.0853,15384.70858,31170.74393,107066.5146,46555.45251,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
8/1/2012,0.850047636922117,2.0664238378870805,241003.081,15360.34641,31107.8691,106969.6061,46468.21551,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
9/1/2012,0.8500476351828126,1.8446043114013013,240500.2042,15340.88305,31055.00154,106906.3499,46395.8846,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
10/1/2012,0.8500476352683582,1.8097295349892013,240226.6655,15322.45034,31004.30088,106849.8432,46326.75123,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
11/1/2012,0.8500476352641494,-0.9037251949889589,240827.6596,15359.80048,31066.50498,107182.1689,46426.30547,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
12/1/2012,0.8500476352643631,-0.5018137470347795,241304.6633,15389.2418,31112.70168,107459.366,46501.94348,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
1/1/2013,0.8500476352643529,0.6487451004966491,240106.2968,15408.78288,31098.28979,107458.2701,46507.07267,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
2/1/2013,0.8500476352643466,1.9579291343265584,238499.2157,15401.55799,31030.15804,107271.2774,46431.71603,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
3/1/2013,0.8500476352643498,-1.7556997428159802,238081.0311,15470.88287,31116.37944,107617.7702,46587.26231,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
4/1/2013,0.8500476352643502,-1.3435701003559282,238076.5903,15532.07719,31186.13621,107907.4206,46718.2134,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
5/1/2013,0.8500476352643463,-0.25557107180519045,237730.3897,15570.98307,31211.13421,108042.207,46782.11728,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
6/1/2013,0.8500476352643488,0.8813250884241457,237028.1938,15586.39902,31189.19666,108014.3834,46775.59568,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
7/1/2013,0.8500476352643471,0.2072960866024407,237509.9815,15615.91057,31195.64431,108084.6998,46811.55488,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
8/1/2013,0.85004763526435,0.43698446325921125,237920.2377,15640.72505,31192.85456,108122.8779,46833.57961,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
9/1/2013,0.8500476352643482,-0.41210418428931417,238601.4771,15683.35795,31225.70162,108284.4904,46909.05958,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
10/1/2013,0.8500476352643493,0.569631429549784,238530.5702,15705.55042,31217.96006,108305.2503,46923.51048,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
11/1/2013,0.8500476352643503,0.4795129378032126,238490.3302,15729.67482,31214.22706,108339.7624,46943.90187,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
12/1/2013,0.8500476352643505,0.8082074104492833,238347.4394,15746.9339,31197.05341,108327.4558,46943.9873,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
1/1/2014,0.8500476352643512,0.1155821328987674,236843.4724,15749.80282,31237.84359,108472.2765,46987.64641,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
2/1/2014,0.8500476352643513,-0.8586368214141205,235653.3578,15773.28721,31319.43494,108758.77,47092.72216,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
3/1/2014,0.8500476352643502,0.21142192350087163,234133.0954,15774.40683,31356.52848,108890.7336,47130.93531,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
4/1/2014,0.8500476352643503,0.17340046704237644,235105.0852,15776.44326,31395.30734,109028.5375,47171.7506,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
5/1/2014,0.8500476352643515,0.018904903525227335,236123.7802,15781.84462,31440.6556,109189.1439,47222.50022,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
6/1/2014,0.8500476352643501,-0.41875740177223153,237279.3711,15796.57398,31504.48877,109413.937,47301.06275,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
7/1/2014,0.8500476352643529,-0.1281591943368334,238319.6046,15805.29444,31556.24738,109596.7875,47361.54182,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
8/1/2014,0.8500476352643498,-1.3418599024949653,239746.4551,15839.73818,31659.31684,109957.8394,47499.05502,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
9/1/2014,0.8500476352643506,-1.0507222786924475,241082.5267,15868.19182,31750.40939,110277.2933,47618.6012,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
10/1/2014,0.8500476352643512,-1.4210354685094528,242503.788,15904.64283,31857.50377,110652.3256,47762.1466,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
11/1/2014,0.8500476352643482,-1.799064086939116,244051.1617,15949.30713,31981.08434,111084.6234,47930.39147,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
12/1/2014,0.8500476352643493,-2.367477813664131,245789.3919,16006.31436,32129.49291,111603.1669,48135.80727,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
1/1/2015,0.8500476352643516,-3.241982431350567,248378.8936,16101.74206,32296.85746,112425.072,48398.59952,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
2/1/2015,0.8500476352643518,1.4634041782908929,249417.6069,16096.42029,32262.06715,112543.9913,48358.48744,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
3/1/2015,0.8500476352643501,1.666970918408001,250384.7089,16086.73455,32218.61598,112631.8425,48305.35053,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
4/1/2015,0.8500476352643516,0.8063230684112455,251021.9933,16095.52036,32212.22427,112848.6056,48307.74463,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
5/1/2015,0.8500476352643491,2.022037754367441,251250.8886,16078.22133,32153.7041,112881.9943,48231.92543,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
6/1/2015,0.8500476352643521,1.685294375114697,251590.6188,16068.15279,32109.74689,112965.4785,48177.89969,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
7/1/2015,0.8500476352643465,0.8505447735785325,251337.2841,16075.97568,32101.60865,113174.3216,48177.58432,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
8/1/2015,0.8500476352643511,0.24257348055199124,251288.2582,16096.84654,32119.54525,113474.8941,48216.39179,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
9/1/2015,0.8500476352643476,-0.8733561467395821,251613.8214,16141.74791,32185.39728,113945.0958,48327.14519,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
10/1/2015,0.8500476352643502,0.1287547241596967,251865.0709,16165.15289,32208.34866,114263.8031,48373.50156,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
11/1/2015,0.8500476352643521,0.6959439245414932,251926.0929,16176.34536,32206.97814,114496.1147,48383.32349,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
12/1/2015,0.850047635264351,-0.3701044516214087,252345.7914,16210.57015,32251.46001,114891.4802,48462.03016,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
1/1/2016,0.8500476352643489,0.5233913882196783,252768.8614,16219.5242,32263.58263,115029.9192,48483.10682,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
2/1/2016,0.8500476352643493,-0.3249907163352721,253478.4293,16246.86013,32312.26955,115298.7318,48559.12968,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
3/1/2016,0.8500476352643496,1.8744752254660129,253444.5937,16226.57783,32266.26144,115229.4866,48492.83927,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
4/1/2016,0.8500476352643507,2.615569862111162,252884.2678,16190.31107,32188.5003,115046.3128,48378.81137,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
5/1/2016,0.8500476352643503,1.2537465911855845,252783.8528,16183.4909,32169.30988,115072.0271,48352.80078,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
6/1/2016,0.8500476352643485,1.5697450960142885,252577.0098,16169.85841,32136.59707,115049.0521,48306.45548,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
7/1/2016,0.8500476352643481,0.4535723754795895,252591.4589,16180.30635,32151.75561,115197.2388,48332.06196,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
8/1/2016,0.8500476352643443,1.2665678805353493,252332.4136,16173.21683,32132.07632,115220.4253,48305.29314,0.0,0.0,0.0,0.0,0.0,,,,,,,,CT
