Time,Factor_Pandemic,Factor_Consumption,Factor_GDP,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Cons2,Factor_Cases5,Factor_Cases2,Factor_Deaths5,Factor_Deaths2,Factor_Cases3,Factor_Deaths3,Factor_Cases4,Factor_Cases1,Factor_Hosp2,Factor_Hosp1,Factor_Deaths4,Factor_Deaths1,State
2/1/2012,1.2443354275991771,1.0648093821508648,1287293.787,65166.80898,155782.9457,531310.2952,220949.671,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
3/1/2012,1.11253161426505,0.8076397328130012,1295447.536,65202.73725,155878.3276,531619.3413,221080.9896,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
4/1/2012,1.1289469843235174,0.3302061254108172,1302797.582,65277.07128,156065.4944,532241.4702,221342.4989,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
5/1/2012,1.1269039593723815,-1.6562320042682483,1313319.833,65510.4056,156632.8,534160.017,222143.1471,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
6/1/2012,1.1271583439790196,-1.137512764344168,1323042.506,65703.38201,157103.6267,535749.5186,222806.9586,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
7/1/2012,1.127126671195068,-0.4211685556393898,1329337.979,65839.73331,157439.0582,536877.2976,223278.7497,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
8/1/2012,1.1271306147182218,2.040699037626581,1331638.371,65778.86585,157302.8562,536396.8357,223081.6887,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
9/1/2012,1.1271301237173978,1.7862328101978546,1334335.369,65738.70033,157216.101,536085.0875,222954.7764,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
10/1/2012,1.1271301848510227,1.737584302081699,1338003.582,65702.69277,157139.2341,535807.1522,222841.9103,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
11/1/2012,1.1271301772393847,-1.2392574930951028,1346530.86,65905.78378,157634.1911,537479.036,223539.9666,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
12/1/2012,1.1271301781870973,-0.80759300183827,1354369.191,66074.9754,158048.0749,538874.4744,224123.0503,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
1/1/2013,1.1271301780691023,0.5822919601919287,1343561.041,66166.43681,158161.5354,539491.9566,224327.9639,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
2/1/2013,1.1271301780837915,2.008037284433754,1330488.684,66142.92116,158000.7447,539172.6805,224143.6494,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
3/1/2013,1.1271301780819627,-2.0585694163574533,1324058.284,66448.13557,158625.4615,541533.3884,225073.5724,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
4/1/2013,1.127130178082191,-1.612226011899936,1330764.351,66718.44455,159166.6336,543609.361,225885.0452,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
5/1/2013,1.1271301780821563,-0.4259933891726988,1335560.968,66893.01389,159479.3915,544905.2487,226372.3641,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
6/1/2013,1.1271301780821652,0.8141933758718075,1338338.701,66966.64954,159551.8038,545379.2923,226518.404,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
7/1/2013,1.1271301780821619,0.07444190207880652,1342243.687,67100.82154,159768.7972,546346.773,226869.5611,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
8/1/2013,1.127130178082162,0.3235413014541688,1345741.142,67214.79,159937.97,547150.1002,227152.6943,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
9/1/2013,1.1271301780821648,-0.606682045040128,1350769.079,67405.31758,160289.5126,548576.8833,227694.7563,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
10/1/2013,1.1271301780821628,0.4657185592070916,1357112.227,67507.97926,160432.3221,549288.8297,227940.2194,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
11/1/2013,1.1271301780821625,0.366245737096082,1363607.935,67618.92142,160595.1388,550068.5522,228213.9702,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
12/1/2013,1.1271301780821645,0.7251420289318314,1369492.869,67700.32522,160688.1588,550608.4205,228388.386,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
1/1/2014,1.1271301780821674,-0.28234671924331645,1367096.476,67803.91026,161040.2938,551899.4717,228844.1144,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
2/1/2014,1.1271301780821648,-1.3446736306121265,1366496.088,67996.01973,161602.4188,553909.9683,229598.3571,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
3/1/2014,1.1271301780821716,-0.1710553852444232,1363964.971,68091.48357,161934.5787,555132.0178,230025.9891,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
4/1/2014,1.1271301780821588,-0.20913084891457034,1367891.06,68190.54849,162274.8892,556381.681,230465.3728,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
5/1/2014,1.1271301780821623,-0.3744666245957208,1372095.208,68303.82793,162648.6444,557745.711,230952.4157,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
6/1/2014,1.1271301780821696,-0.8493185609365888,1377099.723,68457.22327,163117.6299,559436.0654,231574.8047,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
7/1/2014,1.1271301780821665,-0.5276002404797399,1383134.025,68584.3428,163523.7345,560910.5453,232108.037,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
8/1/2014,1.1271301780821614,-1.8509051020751854,1391412.136,68822.96119,164195.541,563296.3096,233018.4699,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
9/1/2014,1.127130178082163,-1.528281072747879,1399163.396,69035.5416,164805.214,565468.9059,233840.7314,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
10/1/2014,1.1271301780821639,-1.9289525943157102,1405392.901,69282.91512,165497.9469,567926.492,234780.8459,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
11/1/2014,1.12713017808216,-2.3379793451438804,1412351.226,69566.15712,166276.4635,570678.5372,235842.6125,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
12/1/2014,1.1271301780821588,-2.9551221600454194,1420409.462,69903.4389,167184.3793,573874.8786,237087.8181,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
1/1/2015,1.1271301780821545,-3.3808034359370485,1429268.205,70333.62612,168129.8411,578209.0714,238463.4591,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
2/1/2015,1.1271301780821628,1.7650312492643518,1429185.098,70323.77185,168023.1535,578928.0843,238346.9091,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
3/1/2015,1.1271301780821654,1.9871720142120672,1428713.131,70294.8041,167871.0943,579486.9008,238165.8741,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
4/1/2015,1.1271301780821643,1.0454184281471532,1435334.143,70346.51637,167911.9295,580708.6775,238258.4135,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
5/1/2015,1.1271301780821688,2.3746463870523593,1439610.622,70284.18124,167680.8022,580986.4913,237964.9431,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
6/1/2015,1.127130178082159,2.0060289024315043,1444509.366,70253.39603,167525.3009,581521.6823,237778.6486,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
7/1/2015,1.1271301780821656,1.092922771085328,1446212.785,70300.79949,167556.4734,582701.9025,237857.2165,0.0,0.0,0.0,0.0,0.0,,,,,,,,NY
