Time,GDP,Cons3,Cons4,Cons5,Cons2,Cases5,Cases2,Deaths5,Deaths2,Cases3,Deaths3,Cases4,Cases1,Hosp2,Hosp1,Deaths4,Deaths1
2/1/2012,643047.2985,49689.1858,105728.8831,318906.5582,155418.1359,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2012,643289.0159,49704.21617,105645.6861,318934.3761,155349.9524,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2012,644471.859,49748.56307,105625.1711,319150.5284,155373.7675,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2012,647224.4054,49914.08866,105861.9621,320144.0878,155776.0675,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2012,649578.9537,50048.84458,106033.3086,320940.1829,156082.1532,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2012,651012.3989,50140.46521,106113.2528,321459.6618,156253.7013,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2012,650495.4617,50081.93855,105875.8598,321016.7708,155957.765,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2012,650182.7075,50039.25124,105672.6756,320675.8386,155711.877,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2012,647320.9041,49999.80134,105477.004,320356.0562,155476.7391,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2012,646820.4965,50142.33319,105665.4888,321202.4107,155807.7392,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2012,645985.3071,50259.06375,105799.5089,321883.4313,156058.4733,0.0,0.0,0.0,0.0,0.0,,,,,,,
1/1/2013,648250.7334,50224.49158,105699.6686,322026.2286,155924.0692,0.0,0.0,0.0,0.0,0.0,,,,,,,
2/1/2013,649382.0765,50103.2234,105417.5234,321611.1254,155520.6645,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2013,653737.6637,50231.20972,105659.8745,322795.1308,155891.01,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2013,655906.245,50332.59365,105846.2118,323808.9436,156178.7394,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2013,657133.5511,50361.73811,105880.6306,324358.0586,156242.311,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2013,657370.688,50315.17959,105755.9667,324418.5897,156071.0969,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2013,658054.4757,50314.45067,105727.7216,324773.3933,156042.1312,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2013,658541.8842,50298.85397,105668.3085,325031.2285,155967.1297,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2013,659780.6007,50340.74348,105729.7144,325659.8474,156070.4333,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2013,661415.3608,50317.22079,105653.7917,325864.5622,155970.9961,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2013,663129.2063,50300.195,105591.5971,326110.1923,155891.7839,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2013,664551.154,50261.54931,105484.1111,326214.3921,155745.6604,0.0,0.0,0.0,0.0,0.0,,,,,,,
1/1/2014,663324.9901,50223.2396,105474.6052,326399.3886,155697.8448,0.0,0.0,0.0,0.0,0.0,,,,,,,
2/1/2014,662970.4183,50250.78661,105603.2298,327011.3089,155854.0164,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2014,661679.2955,50207.20576,105582.1948,327159.2405,155789.4005,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2014,664368.7424,50166.72831,105567.4083,327325.6961,155734.1366,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2014,667190.3795,50137.1224,105575.242,327561.5128,155712.3644,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2014,670398.9906,50137.28345,105645.5573,327990.5857,155782.8408,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2014,672974.19,50118.49501,105675.7599,328294.5699,155794.2549,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2014,676641.6288,50181.33886,105877.9896,329132.6878,156059.3285,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2014,680052.9054,50225.21148,106040.1829,329846.3223,156265.3944,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2014,681403.1551,50294.39701,106255.8193,330726.1954,156550.2163,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2014,683105.0716,50389.50804,106526.2986,331776.9824,156915.8066,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2014,685335.1467,50523.50884,106879.1529,333084.8067,157402.6617,0.0,0.0,0.0,0.0,0.0,,,,,,,
1/1/2015,689892.9716,50865.08401,107297.8009,335692.6837,158162.893,0.0,0.0,0.0,0.0,0.0,,,,,,,
2/1/2015,690135.4977,50888.51323,107044.433,336201.9571,157932.9624,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2015,690189.2425,50898.00255,106762.8196,336617.873,157660.8464,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2015,691085.2849,50965.82775,106604.3792,337418.6506,157570.2394,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2015,690859.7012,50950.93031,106273.8555,337670.6558,157224.8262,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2015,690942.5674,50958.77356,105992.0566,338071.8584,156950.8785,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2015,690830.7473,51023.24836,105828.8702,338847.8054,156852.175,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2015,691280.0088,51129.10294,105751.7578,339898.2683,156880.9252,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2015,692760.6037,51311.34487,105832.2038,341457.0525,157143.6213,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2015,693461.9879,51425.31841,105771.3623,342562.1002,157196.7614,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2015,693639.6128,51500.42257,105630.7115,343408.0646,157131.2228,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2015,694804.7999,51648.8625,105640.4172,344743.1067,157289.3766,0.0,0.0,0.0,0.0,0.0,,,,,,,
1/1/2016,694622.1904,51672.63599,105698.2008,345316.8096,157370.9175,0.0,0.0,0.0,0.0,0.0,,,,,,,
2/1/2016,695226.7488,51754.97052,105875.7741,346281.9072,157630.8092,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2016,693794.6096,51685.62345,105743.035,346231.4338,157428.7067,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2016,693350.0284,51565.38853,105506.1338,345837.7559,157071.5545,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2016,694161.2087,51538.96214,105461.1276,346071.2626,157000.1058,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2016,694676.4579,51490.85673,105371.7303,346157.8114,156862.587,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2016,696717.4257,51519.44322,105439.2555,346758.9892,156958.6828,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2016,698000.2044,51492.19793,105392.4988,346983.6038,156884.6648,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2016,699111.9506,51452.72823,105320.6925,347124.5278,156773.3729,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2016,698432.8377,51388.86238,105198.9133,347099.2626,156587.7121,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2016,699028.0719,51418.79559,105269.1285,347706.5009,156687.8446,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2016,698616.8906,51374.72981,105187.8267,347812.4494,156562.4613,0.0,0.0,0.0,0.0,0.0,,,,,,,
1/1/2017,696705.6264,51293.20513,105060.171,347619.6383,156353.2891,0.0,0.0,0.0,0.0,0.0,,,,,,,
2/1/2017,696315.6515,51323.37154,105161.078,348181.8856,156484.3706,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2017,697377.9286,51460.52108,105481.1538,349469.5627,156941.6038,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2017,697320.4469,51456.31588,105511.4238,349796.7103,156967.6767,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2017,698991.3036,51579.64729,105803.1339,350990.1637,157382.726,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2017,699795.6811,51639.03983,105963.663,351748.2871,157602.6556,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2017,703160.812,51734.46426,106198.083,352751.4204,157932.5079,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2017,705032.5029,51720.40882,106207.6669,353007.1415,157928.0443,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2017,705919.5613,51635.04428,106070.5834,352774.0138,157705.6042,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2017,706748.1809,51666.80732,106173.9086,353339.2875,157840.7002,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2017,707441.8909,51688.79788,106257.0325,353836.6409,157945.8226,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2017,708278.9306,51721.34979,106361.7499,354405.2159,158083.0996,0.0,0.0,0.0,0.0,0.0,,,,,,,
1/1/2018,709968.1762,51807.96433,106327.8286,354647.3225,158135.7929,0.0,0.0,0.0,0.0,0.0,,,,,,,
2/1/2018,712432.3035,51951.3434,106411.6763,355280.1084,158363.0197,0.0,0.0,0.0,0.0,0.0,,,,,,,
3/1/2018,715620.6797,52147.67529,106604.7951,356276.3623,158752.4704,0.0,0.0,0.0,0.0,0.0,,,,,,,
4/1/2018,716316.4734,52314.85597,106739.0204,357074.6132,159053.8764,0.0,0.0,0.0,0.0,0.0,,,,,,,
5/1/2018,717049.3162,52484.29504,106878.649,357889.597,159362.944,0.0,0.0,0.0,0.0,0.0,,,,,,,
6/1/2018,718316.1461,52692.46748,107097.7778,358969.737,159790.2453,0.0,0.0,0.0,0.0,0.0,,,,,,,
7/1/2018,719885.7498,52911.87421,107340.1619,360127.1095,160252.0361,0.0,0.0,0.0,0.0,0.0,,,,,,,
8/1/2018,721552.1987,53138.22172,107596.9721,361332.295,160735.1938,0.0,0.0,0.0,0.0,0.0,,,,,,,
9/1/2018,722211.7383,53290.11017,107703.6087,362032.1553,160993.7188,0.0,0.0,0.0,0.0,0.0,,,,,,,
10/1/2018,721747.3345,53465.87223,107859.2719,362895.4898,161325.1441,0.0,0.0,0.0,0.0,0.0,,,,,,,
11/1/2018,722217.8173,53710.44364,108154.1692,364226.5614,161864.6129,0.0,0.0,0.0,0.0,0.0,,,,,,,
12/1/2018,722840.418,53966.19904,108471.7087,365633.6762,162437.9077,0.0,0.0,0.0,0.0,0.0,,,,,,,
