Time,Factor_Pandemic,Factor_Consumption,Factor_GDP,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Cons2,Factor_Cases5,Factor_Cases2,Factor_Deaths5,Factor_Deaths2,Factor_Cases3,Factor_Deaths3,Factor_Cases4,Factor_Cases1,Factor_Hosp2,Factor_Hosp1,Factor_Deaths4,Factor_Deaths1,State
2/1/2012,-1.161054658334526,0.1700950178211212,294888.4089,22717.46446,43092.70514,135937.3315,65810.18635,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
3/1/2012,-1.1712219382075233,-0.0254673278052625,295976.4376,22726.87622,43088.33409,136033.213,65815.23537,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
4/1/2012,-1.1718241837892656,-0.4166901651334374,296195.7022,22749.68458,43109.43331,136209.1536,65859.15126,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
5/1/2012,-1.171859748865512,-2.142386146720568,297136.4557,22827.90665,43235.54277,136716.8652,66063.49119,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
6/1/2012,-1.171861854185034,-1.6554602989055565,297893.9661,22892.0605,43334.97152,137140.3855,66227.08216,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
7/1/2012,-1.1718619788309756,-0.9947863339800987,298823.2404,22936.48486,43397.04899,137445.7172,66333.59234,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
8/1/2012,-1.171861986210733,1.2074408510514094,298856.2578,22912.21584,43329.23641,137339.2622,66241.51886,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
9/1/2012,-1.1718619866476587,1.008902175483796,298981.3606,22895.17728,43275.23685,137275.8993,66170.48885,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
10/1/2012,-1.1718619866735267,0.991402857044316,298387.7152,22879.60507,43224.13924,137221.0965,66103.82709,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
11/1/2012,-1.171861986675058,-1.6140322597284982,298880.9152,22947.30094,43330.40119,137665.6081,66277.79324,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
12/1/2012,-1.1718619866751483,-1.2089280442691537,299220.0253,23003.19108,43414.35289,138039.3268,66417.64337,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
1/1/2013,-1.171861986675154,0.7143046592154714,300168.1765,23035.43612,43348.25755,138198.3291,66383.78462,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
2/1/2013,-1.1718619866751554,1.9930319507938024,300591.7593,23027.65036,43207.53753,138117.3633,66235.27028,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
3/1/2013,-1.1718619866751545,-1.5810927043409335,302508.0427,23134.311,43281.85166,138722.9146,66416.2369,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
4/1/2013,-1.1718619866751554,-1.1686949514656702,303524.3303,23228.81994,43333.16823,139255.5278,66562.05421,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
5/1/2013,-1.1718619866751536,-0.1034670058973175,304105.0391,23289.99604,43322.28657,139588.3081,66612.34036,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
6/1/2013,-1.1718619866751538,1.008781049770308,304227.4865,23316.02916,43246.3844,139710.5544,66562.46295,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
7/1/2013,-1.1718619866751523,0.3712314662412672,305894.7846,23363.13811,43209.995,139959.2024,66573.17422,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
8/1/2013,-1.1718619866751552,0.6066844065311578,307467.0476,23403.21151,43160.93653,140165.7965,66564.18087,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
9/1/2013,-1.1718619866751538,-0.2002400100844147,309387.4938,23469.94092,43161.27523,140532.1024,66631.24077,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
10/1/2013,-1.1718619866751545,0.7614939252976392,309707.6673,23506.07538,43105.60482,140715.2828,66611.69658,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
11/1/2013,-1.171861986675155,0.6873771207618893,310066.3192,23545.09182,43055.61554,140915.8234,66600.71554,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
12/1/2013,-1.1718619866751545,1.0176328186758956,310290.0552,23573.82156,42987.2458,141054.9156,66561.06736,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
1/1/2014,-1.1718619866751538,0.8655066386572563,309738.132,23603.01499,42934.01318,141302.341,66537.02002,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
2/1/2014,-1.171861986675155,-0.0660533957856079,309593.1456,23663.04142,42937.1299,141734.1717,66600.15504,0.0,0.0,0.0,0.0,0.0,,,,,,,,MN
